username,availability,type,location,work
il,False,Organization,,
im,False,User,Shenzhen / China,PingAn
in,False,User,Toronto,Snap Inc
io,False,Organization,,
ip,False,User,,
iq,False,User,,
ir,False,User,,
is,False,User,"Beijing, China",
it,False,User,,
iu,False,User,,
iv,False,User,,
iw,False,User,,
ix,False,User,"Leeds, UK",
iy,False,User,Thailand,Ratz
iz,False,User,,
ja,False,User,"London/Ramsgate, UK",Tailored
jb,False,User,,
jc,False,User,"Medford, MA",@ZaiusInc
jd,False,User,"Paris, France",@DataDog  + @Mergifyio 
je,False,User,United States,
jf,False,User,"Singapore, Singapore",
jg,False,User,,
jh,False,User,San Francisco,
ji,False,User,,
jj,False,User,"Granada, Spain, Europe",
jk,False,User,"Hamburg, Germany",@milchundzucker 
jl,False,User,"San Francisco, California",
jm,False,User,"Orlando, FL",@sequoiacapital
jn,False,User,,
jo,False,User,Berlin,
jp,False,User,Montreal,
jq,False,User,,ant financial
jr,False,User,,
js,False,User,"Oslo, Norway",@kolonialno 
jt,False,User,"Palo Alto, CA",
ju,False,User,,
jv,False,User,,
jw,False,User,"Antwerp, Belgium",ElevenBits
jx,False,User,Atlanta GA,The Cloudy Group
jy,False,User,,
jz,False,User,,
ka,False,User,Canada,
kb,False,User,"Providence, RI",@digits 
kc,False,Organization,,
kd,False,User,,
ke,False,User,,
kf,False,Organization,,
kg,False,User,"San Jose, CA",
kh,False,User,,
ki,False,User,"Palo Alto, CA",
kj,False,User,New Zealand,@lucidnz 
kk,False,User,"Wellington, NZ",
kl,False,User,Sweden,
km,False,Organization,,
kn,False,User,San Francisco,"Color Genomics, Inc."
ko,False,User,,
kp,False,User,New York,
kq,False,Organization,,
kr,False,User,,
ks,False,User,,
kt,False,User,,
ku,False,User,Tokyo,
kv,False,User,,
kw,False,User,,
kx,False,User,Hong Kong,N3krozoft Ltd
ky,False,User,Japan,
kz,False,User,"London, United Kingdom",Google
la,False,User,Los Angeles,
lb,False,User,The Cloud,
lc,False,User,"Minnesota, USA",@lynxsecurity 
ld,False,User,,
le,False,User,"San Jose, CA",
lf,False,User,"Los Angeles, California",@GameGen / @secondgarage
lg,False,User,"San Francisco, CA",@envoy 
lh,False,User,,
li,False,User,"New York, NY",
lj,False,User,,
lk,False,User,NY | CT,Yale University
ll,False,User,China,@starmaker
lm,False,User,"Brno, Czech Republic",
ln,False,User,,
lo,False,User,Hamburg,@adtriba 
lp,False,User,Montréal,
lq,False,User,,
lr,False,User,New York City,Self
ls,False,Organization,,
lt,False,User,UK,
lu,False,User,,
lv,False,User,"Vancouver, British Columbia, Canada",
lw,False,User,Paris,@facebook
lx,False,User,"Melbourne, Australia",
ly,False,User,"Guangzhou,China",
lz,False,User,Hawaii,
ma,False,User,,
mb,False,User,,
mc,False,User,"Nuremberg, Germany (EDDN)",@Teamix @Proact
md,False,User,,
me,False,User,,
mf,False,User,Canada,
mg,False,User,Reykjavík,
mh,False,User,"san francisco, ca",design @ jawbone
mi,False,User,,
mj,False,User,"Aachen, Germany",Bauer + Kirch GmbH
mk,False,User,Berlin,@nextjournal
ml,False,User,Warsaw,@Jobartis 
mm,False,User,Canada,
mn,False,User,Philadelphia,
mo,False,User,Sweden,
mp,False,User,London,
mq,False,User,,
mr,False,User,,
ms,False,User,,
mt,False,User,NYC,EVEN
mu,False,User,"Antwerp, Belgium",
mv,False,User,São Paulo - Brasil,
mw,False,User,"Seattle, WA",ExtraHop Networks
mx,False,User,,
my,False,User,,
mz,False,User,"Paris, France",Gandi
na,False,User,"Eugene, Or",Predictive Engineering
nb,False,User,"Sofia, Bulgaria",@Automattic 
nc,False,User,"London, U.K.",
nd,False,User,,
ne,False,User,,ne Digital
nf,False,User,,
ng,False,User,"mountain view, ca",google
nh,False,User,,
ni,False,Organization,,
nj,False,User,Denmark,
nk,False,User,,
nl,False,User,"Paris, France",
nm,False,User,,
nn,False,User,"New York, NY",Demon 9 Software
no,False,User,,
np,False,User,"Angers, France",
nq,False,User,,
nr,False,User,,Industrial Light + Magic
ns,False,User,"San Francisco, CA",
nt,False,User,United States,Lyft
nu,False,Organization,,
nv,False,User,San Francisco,@apple
nw,False,User,,
nx,False,User,,
ny,False,Organization,,
nz,False,User,"Austin, TX",One More Cloud
oa,False,Organization,,
ob,False,User,Bay Area,
oc,False,User,"Oslo, Norway",UPPERCASE
od,False,User,,
oe,False,User,Gallifrey,Time Lord
of,False,User,,
og,False,Organization,,
oh,False,User,Florida,
oi,False,Organization,,
oj,False,User,Australia,Beyond Binary Pty Ltd
ok,False,User,Berlin,
ol,False,User,,
om,False,User,,
on,False,User,"Saint-Petersburg, Russia",
oo,False,User,,
op,False,User,"Luleå, Sweden",
oq,False,User,"Jakarta, Indonesia",
or,False,User,,
os,False,User,"Sydney, Australia",
ot,False,User,San Francisco,Facebook
ou,False,Organization,,
ov,False,User,,
ow,False,User,Toronto,Shopify
ox,False,User,"New York, NY",
oy,False,User,,
oz,False,User,Earth,@urbancampus 
pa,False,User,"Chennai, India",@Flux7Labs
pb,False,User,Żyrardów,4 Code
pc,False,User,San Francisco,Stripe
pd,False,User,,
pe,False,User,,
pf,False,User,,
pg,False,User,"Saint Louis, MO",World Wide Technology
ph,False,User,Montreal,Elastic
pi,False,User,,
pj,False,User,"San Francisco, USA",@Revfluence 
pk,False,User,London/Prague,"Fry-IT, Ltd."
pl,False,User,London,
pm,False,User,,
pn,False,User,,
po,False,User,"Lawrence, KS",
pp,False,User,,
pq,False,User,,
pr,False,User,NYC,@capitalrx
ps,False,User,,
pt,False,User,,
pu,False,User,,
pv,False,User,,
pw,False,User,"Albuquerque, NM",
px,False,User,,
py,False,User,,
pz,False,User,,
qa,False,Organization,,
qb,False,User,Tokyo,
qc,False,User,,
qd,False,User,,
qe,False,User,"Nashville, TN, USA",Vanderbilt University
qf,False,Organization,,
qg,False,User,Earth.,
qh,False,User,,
qi,False,User,,
qj,False,User,London,Imperial College London
qk,False,User,Germany,
ql,False,User,"Moscow, Russia",
qm,False,User,China,
qn,False,User,,
qo,False,User,,
qp,False,Organization,,
qq,False,User,,
qr,False,User,,
qs,False,User,London,@feedstock
qt,False,Organization,,
qu,False,User,,
qv,False,User,,
qw,False,User,,
qx,False,User,,
qy,False,User,,
qz,False,User,"Shanghai,China",
ra,False,User,,
rb,False,User,,
rc,False,User,,
rd,False,User,,
re,False,User,United States,
rf,False,User,"Brooklyn, NY",Oden Technologies
rg,False,User,,
rh,False,User,"Amsterdam, The Netherlands",Vrije Universiteit Amsterdam
ri,False,User,Melbourne,
rj,False,User,London,
rk,False,User,Eastern United States,@woodstreet
rl,False,User,,
rm,False,User,Bangalore,
rn,False,User,Cambridge,
ro,False,User,,
rp,False,User,,
rq,False,Organization,,
rr,False,Organization,,
rs,False,User,"Silicon Valley, California, USA",Netflix
rt,False,User,"Honolulu, HI /  Palo Alto, CA USA",
ru,False,Organization,,
rv,False,User,Lyon,
rw,False,User,,CTO
rx,False,User,"Traverse City, MI",@geotix
ry,False,User,New York City,@denoland 
rz,False,User,"New York, NY",
sa,False,User,,
sb,False,Organization,,
sc,False,User,,
sd,False,User,New York City,ArepaLabs
se,False,User,,@monofor 
sf,False,User,,
sg,False,User,"Austin, TX, USA",
sh,False,User,,
si,False,User,"Crick, UK",WorldFirst
sj,False,User,"Oxford, UK",GitHub
sk,False,User,,
sl,False,User,,
sm,False,Organization,,
sn,False,User,The Internet,Apollo Black Ltd
so,False,User,,
sp,False,User,NYC,
sq,False,Organization,,
sr,False,User,Europe,@salesforce
ss,False,User,"Los Angeles, CA",
st,False,User,"Geneva, Switzerland",
su,False,User,Chicago,
sv,False,User,,
sw,False,User,,
sx,False,User,"Austin, Texas",X.Commerce
sy,False,User,Bodrum,
sz,False,User,Melbourne,
ta,False,User,Denmark,QuickPay
tb,False,User,Poland,SoftKraft
tc,False,User,"san francisco, ca",wework
td,False,User,Lancaster,@yordasgroup 
te,False,User,,
tf,False,User,Cologne,Codevise Solutions
tg,False,User,,
th,False,User,,
ti,False,User,Singapore,
tj,False,User,"London, UK",Apex
tk,False,User,Köln,@trustedshops 
tl,False,User,California,@TL
tm,False,User,Poland,Republika Ostrowska
tn,False,User,Kazan,
to,False,User,,
tp,False,User,Hamburg/Munich,@LunaONE
tq,False,User,,
tr,False,Organization,,
ts,False,User,Seattle,
tt,False,User,"Copenhagen, Denmark",@heroku
tu,False,User,,
tv,False,User,"Oulu, Finland",
tw,False,User,"London, UK",
tx,False,User,,
ty,False,User,San Francisco,klamr.to
tz,False,User,Arsenal of Technocracy,
ua,False,User,,
ub,False,User,,
uc,False,User,,
ud,False,User,,
ue,False,User,Istanbul,kendi isinin patronu'n da calisiyor
uf,False,Organization,,
ug,False,User,Japan,Transcosmos research and develop Inc.
uh,False,User,,@thingful 
ui,False,User,,
uj,False,User,,
uk,False,Organization,,
ul,False,User,Sydney,@atlassian
um,False,Organization,,
un,False,User,,
uo,False,User,,
up,False,User,Earth,Freelance Javascript Engineer
uq,False,User,,
ur,False,User,,
us,False,User,Mugla,
ut,False,User,Germany,3+x
uu,False,User,"Russia, Moscow",@megaplan 
uv,False,User,,
uw,False,User,,
ux,False,User,"Kiev, Ukraine",@SphereSoftware 
uy,False,User,Istanbul / Turkiye,itelligenceTR
uz,False,User,,
va,False,Organization,,
vb,False,User,Stockholm,
vc,False,User,,
vd,False,User,,
ve,False,User,,
vf,False,User,,
vg,False,User,Internet,@vg @illinois @FOSSRIT
vh,False,User,"Minsk, Belarus",
vi,False,User,Republic of Belarus,
vj,False,User,,
vk,False,User,,
vl,False,User,Russia,
vm,False,User,"Cambridge, MA",Drift
vn,False,User,,
vo,False,User,,
vp,False,User,,
vq,False,User,"Kalmar, Sweden",
vr,False,User,"Lyon, France",Vanoix
vs,False,User,"Prague, Czech Republic",TMate Software s.r.o.
vt,False,User,"Brussels, Belgium",
vu,False,User,"Los Angeles, California",AAXIS Group
vv,False,User,,
vw,False,User,,
vx,False,Organization,,
vy,False,User,The Netherlands,
vz,False,User,,
wa,False,User,"York, UK",
wb,False,User,"New York, NY",Project Franklin @ Walmart
wc,False,User,,
wd,False,User,"Beijing, China",wdicc
we,False,User,,
wf,False,User,,
wg,False,User,,
wh,False,User,,
wi,False,User,,
wj,False,User,,
wk,False,User,,
